origintime,latitude,longitude,depth,magnitude
2014-03-24T07:46:37.600000Z,15.358,-69.553,15,2.8
2014-03-24T12:26:27.900000Z,15.144,-70.17,60.3,2.9
2014-03-24T13:30:53.300000Z,16.181,-71.75,113.9,4.0
2014-03-24T13:48:25.300000Z,15.415,-69.755,15,3.1
2014-03-24T13:53:22.200000Z,16.962,-68.902,216.2,3.6
2014-03-24T14:18:48.200000Z,15.805,-72.155,87.3,4.0
2014-03-24T17:43:20.600000Z,15.249,-69.465,15,3.0
2014-03-24T18:49:47.800000Z,15.278,-69.959,15,2.7
2014-03-25T08:41:10.000000Z,15.232,-69.728,82.2,1.1
2014-03-27T22:38:40.400000Z,15.584,-69.179,94.1,1.8
2014-03-28T20:42:36.300000Z,19.116,-65.848,0.1,1.6
2014-03-29T04:13:21.200000Z,15.163,-69.322,50.8,1.4
2014-03-29T11:27:31.600000Z,15.899,-70.755,110.7,1.8
2014-03-29T12:53:30.400000Z,15.317,-68.932,15,3.5
2014-03-30T04:18:37.200000Z,15.662,-69.807,90.8,1.3
2014-03-30T12:47:28.200000Z,14.939,-69.238,51.3,1.4
2014-03-30T19:35:23.900000Z,15.796,-68.546,50.5,1.8
2014-03-31T10:24:48.400000Z,15.932,-70.904,127.8,1.7
2014-04-01T11:21:13.200000Z,15.45,-69.726,87.9,1.4
2014-04-02T14:15:25.300000Z,15.64,-71.756,82,1.7
2014-04-02T21:02:11.900000Z,15.42,-69.194,52.5,1.6
2014-04-04T19:06:59.100000Z,15.568,-68.779,15,3.5
2014-04-05T17:02:24.000000Z,15.473,-69.97,15,3.4
2014-04-06T10:50:14.200000Z,15.19,-69.52,51.6,1.9
2014-04-06T16:38:49.900000Z,16.388,-69.594,15,3.1
2014-04-07T01:21:45.500000Z,15.75,-70.341,15,2.8
2014-04-07T03:13:34.000000Z,15.885,-72.308,31.2,4.3
2014-04-07T04:42:25.700000Z,16.068,-71.546,15,2.9
2014-04-09T09:32:01.200000Z,20.129,-71.856,156.3,2.9
2014-04-09T17:53:20.300000Z,18.547,-68.634,121.5,4.6
2014-04-10T16:07:28.700000Z,15.486,-68.988,15,3.4
2014-04-11T07:27:08.800000Z,15.646,-70.005,15,3.2
2014-04-11T12:56:42.300000Z,15.348,-69.442,15,3.2
2014-04-11T22:33:47.100000Z,15.116,-69.595,15,3.1
2014-04-12T13:29:32.300000Z,15.606,-70.809,15,3.7
2014-04-13T13:19:47.500000Z,15.508,-69.862,15,3.7
2014-04-14T09:45:50.800000Z,15.436,-69.312,15,3.4
2014-04-15T01:33:09.900000Z,15.32,-69.54,15,3.6
2014-04-15T05:58:04.500000Z,15.397,-69.692,15,2.9
2014-04-15T09:48:01.400000Z,15.911,-70.008,15,3.2
2014-04-16T08:21:29.200000Z,14.979,-68.527,15,3.6
2014-04-17T03:45:32.100000Z,15.265,-69.432,80.5,1.4
2014-04-17T19:48:36.900000Z,14.521,-69.614,80.8,1.3
2014-04-18T14:16:56.200000Z,18.153,-68.76,149.2,3.3
2014-04-19T10:42:11.000000Z,19.095,-67.552,0,1.8
2014-04-19T12:03:53.100000Z,15.729,-70.174,82.9,0.9
2014-04-20T05:59:22.800000Z,15.948,-64.568,31.1,2.8
2014-04-21T00:11:22.500000Z,15.673,-69.46,51,2.4
2014-04-21T04:13:24.100000Z,15.252,-69.225,54.7,1.6
2014-04-22T00:09:45.600000Z,15.78,-70.812,83.1,1.5
2014-04-22T18:08:07.800000Z,15.306,-68.641,54,1.6
2014-04-22T19:46:42.900000Z,15.688,-68.508,15,2.0
2014-04-23T15:58:54.300000Z,15.661,-68.787,80.2,2.0
2014-04-24T03:53:51.900000Z,15.45,-69.553,100.1,1.5
2014-04-24T08:56:49.100000Z,15.396,-70.776,50.9,1.7
